//char	type	Width	Filename
能	item	8	FontItem_E883BD.png
申	item	8	FontItem_E794B3.png
予	item	8	FontItem_E4BA88.png
十	item	8	FontItem_E58D81.png
噂	item	10	FontItem_E59982.png
ゾ	item	7	FontItem_E382BE.png
従	item	8	FontItem_E5BE93.png
望	item	8	FontItem_E69C9B.png
転	item	8	FontItem_E8BBA2.png
犠	item	9	FontItem_E78AA0.png
余	item	8	FontItem_E4BD99.png
評	item	9	FontItem_E8A995.png
タ	item	7	FontItem_E382BF.png
／	item	8	FontItem_EFBC8F.png
運	item	8	FontItem_E9818B.png
真	item	8	FontItem_E79C9F.png
録	item	9	FontItem_E98CB2.png
与	item	8	FontItem_E4B88E.png
ダ	item	7	FontItem_E38380.png
神	item	9	FontItem_E7A59E.png
雲	item	8	FontItem_E99BB2.png
誉	item	9	FontItem_E8AA89.png
契	item	8	FontItem_E5A591.png
＼	item	7	FontItem_EFBCBC.png
点	item	8	FontItem_E782B9.png
垣	item	8	FontItem_E59EA3.png
狙	item	9	FontItem_E78B99.png
柔	item	8	FontItem_E69F94.png
チ	item	7	FontItem_E38381.png
～	item	8	FontItem_EFBD9E.png
Ａ	item	7	FontItem_EFBCA1.png
港	item	9	FontItem_E6B8AF.png
義	item	9	FontItem_E7BEA9.png
伝	item	8	FontItem_E4BC9D.png
形	item	8	FontItem_E5BDA2.png
倭	item	9	FontItem_E580AD.png
ヂ	item	8	FontItem_E38382.png
Ｂ	item	7	FontItem_EFBCA2.png
殿	item	9	FontItem_E6AEBF.png
和	item	8	FontItem_E5928C.png
病	item	8	FontItem_E79785.png
誕	item	9	FontItem_E8AA95.png
預	item	8	FontItem_E9A090.png
ッ	item	7	FontItem_E38383.png
Ｃ	item	7	FontItem_EFBCA3.png
話	item	8	FontItem_E8A9B1.png
傭	item	9	FontItem_E582AD.png
臣	item	7	FontItem_E887A3.png
甲	item	8	FontItem_E794B2.png
獣	item	9	FontItem_E78DA3.png
ツ	item	7	FontItem_E38384.png
Ｄ	item	7	FontItem_EFBCA4.png
皇	item	8	FontItem_E79A87.png
団	item	8	FontItem_E59BA3.png
祖	item	9	FontItem_E7A596.png
残	item	8	FontItem_E6AE8B.png
議	item	9	FontItem_E8ADB0.png
営	item	8	FontItem_E596B6.png
幼	item	8	FontItem_E5B9BC.png
芯	item	8	FontItem_E88AAF.png
ヅ	item	8	FontItem_E38385.png
Ｅ	item	7	FontItem_EFBCA5.png
壇	item	9	FontItem_E5A387.png
電	item	8	FontItem_E99BBB.png
重	item	8	FontItem_E9878D.png
仕	item	8	FontItem_E4BB95.png
謀	item	8	FontItem_E8AC80.png
テ	item	7	FontItem_E38386.png
Ｆ	item	7	FontItem_EFBCA6.png
親	item	9	FontItem_E8A6AA.png
各	item	8	FontItem_E59084.png
覇	item	9	FontItem_E8A687.png
容	item	8	FontItem_E5AEB9.png
影	item	8	FontItem_E5BDB1.png
弾	item	8	FontItem_E5BCBE.png
デ	item	7	FontItem_E38387.png
Ｇ	item	7	FontItem_EFBCA7.png
断	item	8	FontItem_E696AD.png
貿	item	8	FontItem_E8B2BF.png
惑	item	8	FontItem_E68391.png
素	item	8	FontItem_E7B4A0.png
ト	item	6	FontItem_E38388.png
Ｈ	item	8	FontItem_EFBCA8.png
使	item	8	FontItem_E4BDBF.png
身	item	9	FontItem_E8BAAB.png
紅	item	8	FontItem_E7B485.png
暖	item	8	FontItem_E69A96.png
組	item	8	FontItem_E7B584.png
拡	item	8	FontItem_E68BA1.png
嬌	item	10	FontItem_E5AC8C.png
ド	item	6	FontItem_E38389.png
Ｉ	item	6	FontItem_EFBCA9.png
辛	item	8	FontItem_E8BE9B.png
防	item	8	FontItem_E998B2.png
栄	item	8	FontItem_E6A084.png
派	item	8	FontItem_E6B4BE.png
宿	item	8	FontItem_E5AEBF.png
敬	item	9	FontItem_E695AC.png
刺	item	8	FontItem_E588BA.png
揺	item	9	FontItem_E68FBA.png
ナ	item	8	FontItem_E3838A.png
（	item	7	FontItem_EFBC88.png
Ｊ	item	7	FontItem_EFBCAA.png
進	item	8	FontItem_E980B2.png
司	item	8	FontItem_E58FB8.png
景	item	8	FontItem_E699AF.png
永	item	8	FontItem_E6B0B8.png
格	item	8	FontItem_E6A0BC.png
段	item	8	FontItem_E6AEB5.png
品	item	8	FontItem_E59381.png
吠	item	8	FontItem_E590A0.png
ニ	item	7	FontItem_E3838B.png
）	item	6	FontItem_EFBC89.png
Ｋ	item	8	FontItem_EFBCAB.png
男	item	7	FontItem_E794B7.png
破	item	9	FontItem_E7A0B4.png
阻	item	9	FontItem_E998BB.png
史	item	8	FontItem_E58FB2.png
祝	item	9	FontItem_E7A59D.png
ヌ	item	6	FontItem_E3838C.png
Ｌ	item	7	FontItem_EFBCAC.png
北	item	8	FontItem_E58C97.png
徒	item	8	FontItem_E5BE92.png
談	item	9	FontItem_E8AB87.png
耕	item	9	FontItem_E88095.png
ネ	item	7	FontItem_E3838D.png
Ｍ	item	8	FontItem_EFBCAD.png
人	item	8	FontItem_E4BABA.png
様	item	9	FontItem_E6A798.png
値	item	8	FontItem_E580A4.png
粛	item	9	FontItem_E7B29B.png
四	item	8	FontItem_E59B9B.png
考	item	8	FontItem_E88083.png
ノ	item	6	FontItem_E3838E.png
Ｎ	item	8	FontItem_EFBCAE.png
士	item	8	FontItem_E5A3AB.png
知	item	8	FontItem_E79FA5.png
僧	item	8	FontItem_E583A7.png
確	item	9	FontItem_E7A2BA.png
ハ	item	8	FontItem_E3838F.png
Ｏ	item	7	FontItem_EFBCAF.png
系	item	8	FontItem_E7B3BB.png
地	item	9	FontItem_E59CB0.png
始	item	9	FontItem_E5A78B.png
馬	item	8	FontItem_E9A6AC.png
溶	item	8	FontItem_E6BAB6.png
創	item	9	FontItem_E589B5.png
刃	item	8	FontItem_E58883.png
渡	item	9	FontItem_E6B8A1.png
貧	item	8	FontItem_E8B2A7.png
バ	item	8	FontItem_E38390.png
Ｐ	item	7	FontItem_EFBCB0.png
出	item	8	FontItem_E587BA.png
姉	item	9	FontItem_E5A789.png
経	item	9	FontItem_E7B58C.png
双	item	8	FontItem_E58F8C.png
覚	item	8	FontItem_E8A69A.png
パ	item	8	FontItem_E38391.png
Ｑ	item	7	FontItem_EFBCB1.png
用	item	8	FontItem_E794A8.png
英	item	8	FontItem_E88BB1.png
術	item	9	FontItem_E8A193.png
継	item	9	FontItem_E7B699.png
姿	item	8	FontItem_E5A7BF.png
却	item	8	FontItem_E58DB4.png
恥	item	9	FontItem_E681A5.png
廃	item	8	FontItem_E5BB83.png
ヒ	item	6	FontItem_E38392.png
Ｒ	item	7	FontItem_EFBCB2.png
子	item	8	FontItem_E5AD90.png
衛	item	9	FontItem_E8A19B.png
牧	item	9	FontItem_E789A7.png
客	item	8	FontItem_E5AEA2.png
穢	item	9	FontItem_E7A9A2.png
ビ	item	7	FontItem_E38393.png
Ｓ	item	7	FontItem_EFBCB3.png
荒	item	8	FontItem_E88D92.png
途	item	9	FontItem_E98094.png
腕	item	9	FontItem_E88595.png
